Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
A000148,Jake Auchincloss,M,Democrat,1988,2,MA-04,-0.21593226492404938,-0.7250722801160312
A000372,Rick Allen,M,Republican,1951,5,GA-12,0.3534468412399292,1.2666518547483812
A000375,Jodey Arrington,M,Republican,1972,4,TX-19,0.2916131615638733,1.0503537313627165
A000377,Kelly Armstrong,M,Republican,1976,3,ND-AL,0.27516940236091614,0.9928324213640383
A000379,Mark Alford (politician),M,Republican,1963,1,MO-04,0.3318416178226471,1.191075416390375
B000490,Sanford Bishop Jr.,M,Democrat,1947,16,GA-02,-0.22782033681869507,-0.7666575076968094
B000574,Earl Blumenauer,M,Democrat,1948,15,OR-03,-0.272826224565506,-0.92409095031159
B000668,Cliff Bentz,M,Republican,1952,2,OR-02,0.1670771688222885,0.6147189500413259
B000740,Stephanie Bice,F,Republican,1973,2,OK-05,0.273416131734848,0.986699369794206
B000825,Lauren Boebert,F,Republican,1986,2,CO-03,0.3444255590438843,1.2350948388994176
B001223,Jamaal Bowman,M,Democrat,1976,2,NY-16,-0.4156351089477539,-1.4236454626179627
B001224,Cori Bush,F,Democrat,1976,2,MO-01,-0.480541855096817,-1.6506933669423192
B001248,Michael C. Burgess,M,Republican,1950,11,TX-26,0.1826501339673996,0.6691941673352799
B001257,Gus M. Bilirakis,M,Republican,1963,9,FL-12,0.37612226605415344,1.3459719252986817
B001275,Larry Bucshon,M,Republican,1962,7,IN-08,0.28555619716644287,1.0291660867094856
B001278,Suzanne Bonamici,F,Democrat,1954,7,OR-01,-0.46553701162338257,-1.598205475197842
B001281,Joyce Beatty,F,Democrat,1950,6,OH-03,-0.34397584199905396,-1.1729768133414065
B001282,Andy Barr,M,Republican,1973,6,KY-06,0.22947803139686584,0.8330011150885792
B001287,Ami Bera,M,Democrat,1965,6,CA-06,-0.11770305782556534,-0.3814602992606952
B001291,Brian Babin,M,Republican,1948,5,TX-36,0.34142011404037476,1.2245816021390692
B001292,Don Beyer,M,Democrat,1950,5,VA-08,-0.18549270927906036,-0.6185927887256103
B001295,Mike Bost,M,Republican,1960,5,IL-12,0.29707109928131104,1.0694459427921905
B001296,Brendan Boyle,M,Democrat,1977,5,PA-02,-0.1460011899471283,-0.48044895569001417
B001297,Ken Buck,M,Republican,1959,5,CO-04,0.1969209611415863,0.7191144236277908
B001298,Don Bacon,M,Republican,1963,4,NE-02,-0.012349977158010006,-0.012928557972218837
B001300,Nanette Barragán,F,Democrat,1976,4,CA-44,-0.4707624018192291,-1.6164842206847796
B001301,Jack Bergman,M,Republican,1947,4,MI-01,0.1757812350988388,0.6451663245353804
B001302,Andy Biggs,M,Republican,1958,4,AZ-05,0.2272200882434845,0.8251026870903339
B001309,Tim Burchett,M,Republican,1964,3,TN-02,0.3641729950904846,1.3041726195027301
B001311,Dan Bishop,M,Republican,1964,3,NC-08,0.18098603188991547,0.6633730329896009
B001314,Aaron Bean,M,Republican,1967,1,FL-04,0.2413279116153717,0.8744527457700417
B001316,Eric Burlison,M,Republican,1976,1,MO-07,0.3566647469997406,1.277908292675504
B001317,Josh Brecheen,M,Republican,1979,1,OK-02,0.24392734467983246,0.8835457270814424
